project;documented refactorings decreasing cc;documented refactorings increasing cc;documented refactorings equalizing cc;undocumented refactorings decreasing cc;undocumented refactorings increasing cc;undocumented refactorings equalizing cc;
Apache Hive; 2; 4; 0; 62; 622; 182
Apache HttpClient; 5; 17; 5; 98; 451; 467
Apache HttpComponents HttpAsyncClient; 1; 2; 0; 19; 40; 32
Apache HttpCore; 15; 23; 6; 145; 571; 535
Apache Ivy; 4; 19; 4; 52; 561; 281
Apache IvyDE; 2; 7; 0; 19; 113; 65
Apache Jackrabbit; 5; 18; 10; 463; 1909; 1592
Apache Jackrabbit Oak; 10; 12; 14; 191; 525; 531
Apache James; 21; 33; 13; 345; 961; 727
Apache James IMAP; 4; 5; 2; 146; 254; 266
Apache James jSPF; 5; 16; 3; 47; 127; 135
Apache James Mailbox; 0; 4; 0; 44; 127; 122
Apache James Mime4j; 4; 9; 4; 53; 191; 162
Apache James protocols; 1; 3; 0; 60; 162; 157
Apache Jena - ARQ (Incubating); 0; 1; 0; 302; 1133; 969
Apache Jena - core (Incubating); 20; 50; 13; 342; 1359; 861
Apache Jena - Eyeball (Incubating); 1; 3; 4; 19; 179; 56
Apache Jena - Fuseki (Incubating); 0; 1; 0; 27; 86; 122
Apache Jena - IRI (Incubating); 0; 0; 0; 7; 25; 15
Apache Jena - Joseki (Incubating); 1; 1; 1; 37; 141; 172
Apache Jena - LARQ (Incubating); 0; 0; 0; 5; 18; 17
Apache Jena - SDB (Incubating); 0; 1; 0; 146; 433; 380
Apache Jena - Site (Incubating); 0; 0; 0; 0; 0; 1
Apache Jena - TDB (Incubating); 1; 0; 0; 223; 857; 920
Apache JMeter; 7; 11; 4; 400; 1323; 1802
Apache JSPWiki (incubating); 11; 19; 19; 155; 962; 1889
Apache Kafka; 0; 0; 0; 1; 3; 2
Apache Kalument (Incubating); 0; 2; 1; 1; 18; 9
Apache Kandula; 2; 1; 4; 8; 35; 26
Apache Karaf; 14; 16; 13; 120; 632; 403
Apache Karaf Cellar; 3; 1; 1; 18; 88; 52
Apache Lenya; 34; 39; 24; 428; 1509; 1256
Apache log4cxx; 0; 0; 0; 1; 2; 1
Apache log4j; 5; 7; 3; 243; 776; 640
Apache log4j component; 1; 0; 0; 5; 8; 11
Apache log4j extras; 0; 0; 0; 6; 25; 22
Apache log4j receivers; 0; 0; 0; 6; 18; 11
Apache log4j zeroconf; 0; 0; 0; 2; 3; 3
Apache Lucene & Solr; 7; 26; 4; 496; 1541; 1525
Apache Lucy; 0; 0; 0; 1; 1; 5
Apache Mahout; 16; 31; 8; 238; 719; 570
Apache Maven; 16; 34; 8; 489; 1567; 1199
Apache Maven 2; 7; 16; 5; 254; 978; 714
Apache Maven 3; 18; 43; 13; 535; 1768; 1348
Apache Maven ant tasks; 0; 0; 3; 9; 57; 68
Apache Maven App Engine; 0; 1; 0; 3; 11; 10
Apache Maven archetype; 0; 2; 3; 48; 115; 168
Apache Maven Doxia; 1; 1; 1; 73; 239; 288
Apache Maven Doxia sitetools; 0; 0; 0; 5; 34; 86
Apache Maven Doxia tools; 0; 1; 0; 5; 24; 30
Apache Maven enforcer; 1; 3; 5; 7; 35; 34
Apache Maven Indexer; 0; 0; 0; 7; 43; 39
Apache Maven Integration Testing; 2; 5; 1; 139; 677; 601
Apache Maven jxr; 0; 0; 0; 2; 15; 18
Apache Maven mercury; 2; 7; 6; 38; 243; 114
Apache Maven plugin testing; 0; 0; 0; 2; 12; 8
Apache Maven plugin tools; 1; 0; 2; 12; 75; 134
Apache Maven plugins; 18; 55; 31; 311; 1423; 1558
Apache Maven release; 0; 1; 1; 10; 92; 129
Apache Maven repository tools; 0; 0; 0; 2; 11; 10
Apache Maven resources; 0; 0; 0; 0; 4; 7
Apache Maven sandbox; 3; 17; 5; 130; 490; 321
Apache Maven scm; 5; 4; 0; 73; 462; 465
Apache Maven shared; 1; 4; 1; 41; 315; 274
Apache Maven site; 0; 0; 0; 1; 0; 1
Apache Maven Surefire; 6; 9; 4; 99; 396; 220
Apache Maven wagon; 0; 10; 2; 42; 160; 116
Apache MINA; 4; 8; 7; 161; 443; 543
Apache MINA SSHD; 1; 2; 3; 5; 79; 47
Apache MRUnit; 0; 0; 0; 16; 37; 33
Apache MyFaces; 5; 8; 5; 181; 794; 558
Apache MyFaces ExtCDI (CODI); 8; 32; 17; 81; 351; 271
Apache MyFaces ExtVal; 6; 26; 10; 32; 208; 111
Apache MyFaces Html5 Renderkit; 2; 2; 1; 4; 15; 19
Apache MyFaces Portlet-Bridge; 0; 0; 0; 1; 4; 5
Apache MyFaces Scripting; 7; 21; 22; 62; 232; 127
Apache NPanday; 0; 5; 3; 51; 169; 174
Apache NPanday ITs; 0; 0; 1; 13; 72; 118
Apache Nutch; 1; 6; 2; 90; 377; 252
Apache Nuvem; 1; 5; 3; 4; 29; 21
Apache ODE; 5; 10; 4; 213; 771; 602
Apache OFBiz; 19; 33; 23; 264; 817; 1228
Apache Oozie; 0; 5; 1; 20; 173; 78
Apache OpenEJB; 17; 65; 15; 504; 2448; 1419
Apache OpenJPA; 7; 21; 9; 172; 1234; 735
Apache OpenNLP (Incubating); 7; 5; 6; 47; 139; 202
Apache OpenWebBeans; 4; 5; 8; 161; 590; 524
Apache PDFBox; 1; 4; 3; 47; 253; 155
Apache Photark - Mobile (Incubating); 0; 0; 0; 1; 2; 5
Apache Photark - Server (Incubating); 1; 5; 7; 9; 49; 33
Apache Pig; 0; 1; 2; 64; 504; 178
Apache Pivot; 1; 8; 6; 297; 1008; 721
Apache Pluto; 18; 30; 8; 117; 351; 271
Apache POI; 25; 55; 9; 214; 1786; 820
